Diplome
Licence
Master
Doctorat
Phd
DEA
Diplôme d’État d’Architecte
Diplôme d’Études en Architecture
DEEA
Diplôme de Spécialisation et d’Approfondissement en Architecture
DSA
 Diplôme propre aux Écoles d’Architecture 
DPEA
MS
mastère spécialisé
BTS
Brevet de technicien supérieur
bachelors universitaires de technologie
BUT
MBA
master of busness and administration
DUT
Diplôme universitaire de technologie
Licence professionnelle
Massive Open Online Course
MOOC
CAP
certificat d'aptitude professionnelle
brevet d'études professionnelles
BEP
bac
baccalauréat
baccalauréat professionnelle
VAE 
validation des acquis de l'expérience
CAPA
certificat d'aptitude à la profession d'avocat
diplôme d'études universitaires scientifiques et techniques
DEUST
DES
Diplôme d’Études Supérieures
DESCF
Diplôme d'Études Supérieures Comptables et Financières
ergonomie 
gestion de projet
 Marketing et Relation clients
Magistère
Philosophiæ doctor
